id,name,size,subcategory_id
d7041261-ea8b-4d96-be08-679cd43dcb49,تي لحام مسلوب 90/160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
3823661d-864a-49e5-85f7-51c45ef29ec8,تي محبس 3/4 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
3c4268c9-f7e2-453f-955e-ffcccb408fab,تي محبس 3/4 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
5b3c3d93-3fdc-494e-a6cf-7de852a35c2a,تي محبس 3/4 × 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2b64a908-50d7-4d87-b6bc-72fdbe12ef8a,تي مزدوج بسن داخلي 2/1 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e0ebd4e8-4166-4a7b-802d-f77f8d4f5e90,تي مزدوج لحام 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
1f831ae9-ad84-4ece-805c-cad48bd13c57,تي مزدوج لحام 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
132030b9-bfff-4ee9-9a5b-f79d9c253cfe,جلبة بصامولة متحركة 1/2 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
ed22a5d1-16f7-4f58-b7e4-2e903c02de16,جلبة بصامولة متحركة 3/4 × 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
6948b3fe-9a82-4084-b2e1-e27d02ce513d,جلبة بصامولة متحركة 3/4 × 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2760d858-178d-48fb-9fd9-e7c579671756,جلبة لحام 110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
98b842d7-b5dd-46df-ab8f-632956422bfb,جلبة لحام 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
5fd870ca-9ed2-455a-8c7a-3752fcfbcb6a,جلبة لحام 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
83a3fa9c-9c07-48ea-9561-1ec35208ff6b,جلبة لحام 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
fb3ad7ae-54d5-4d67-b793-64a632e3a049,جلبة لحام 32 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
2c476d65-9501-4aaf-80ea-c1372e095cd9,جلبة لحام 32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
7367c1ed-3990-4b07-b99d-9334402f2916,جلبة لحام 40 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
62998a20-1fdb-41c5-87e4-0a08a3478698,جلبة لحام 40 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
02894383-5bad-4441-b761-12eaaac0a33d,جلبة لحام 50 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
10711f94-3d9d-4304-9bca-4fb4179d6d2b,جلبة لحام 50 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
aae3eb85-65dd-4e8f-b0ba-3ab0e4424df0,جلبة لحام 63 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
e1be12ab-e9f1-4173-b4ba-6fc679ee6154,جلبة لحام 63 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
8aa6eb50-0840-4e9a-948e-a90a36f739ce,جلبة لحام 75 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
c7abc6fc-73ca-4cf3-9855-b6d727068ec0,جلبة لحام 90 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
09e3659c-05a1-4e57-84bf-8dfb5ca63ecf,صليبة لحام 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
9b299824-e850-42fb-bd30-75d3414b94f3,صليبة لحام 32 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
9a877a6f-471b-4205-a849-b5b30fa677e5,طبة اختبار 1/2 بوصة,1/2,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
56dbc68c-b9a7-4475-9bfc-c1c8f23a4b32,طبة لحام 110 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
4207fce7-eef6-489b-ab3c-328f6bff2c65,طبة لحام 160 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
b1f93869-4ee6-40ee-a3a5-5c486fbd71f3,طبة لحام 20 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
24eb8cf3-8858-4bf4-88e9-7136965ac566,طبة لحام 25 مم,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
a27c4a6f-d281-41c5-afb7-86f839eacb4f,طبة لحام 25 مم UV أسود,مم,0e3dc801-94e4-4c20-8dcb-d5289f22ec11
